Product,KCT8526HW,,,,,,,,,,,,,,,,,,,,,,,,
Revision,A4,,,,,,,,,,,,,,,,,,,,,,,,
Date,2018/4/24  18:20_2018/9/14 20:53,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,
Limit File Format Version,1,,,,,,,,,,,,,,,,,,,,,,,,
HardBinNumberPass,1,,,,,,,,,,,,,,,,,,,,,,,,
HardBinNamePass,Pass,,,,,,,,,,,,,,,,,,,,,,,,
SoftBinNumberPass,1,,,,,,,,,,,,,,,,,,,,,,,,
SoftBinNamePass,AllPass,,,,,,,,,,,,,,,,,,,,,,,,
LinearCombo,33-34|35-36|37-38|39-40,,,,,,,,,,,,,,,,,,,,,,,,
Test Number,Test Name,Units,HardBinNumber,HardBinName,HardBinPF,SoftBinNumber,SoftBinName,SoftBinPF,FT Lower Limit,FT Upper Limit,QA Lower Limit,QA Upper Limit,Gold Tolerance,Gold Control,MIN,MAX,Apply Offset, Offset1, Offset2, Offset3, Offset4, Offset5, Offset6,Offset7,Offset8
18,LNA_IDC,mA,3,Bin3,F,15,LNA_IDC_FAIL,F,25,38,25,38,0,0,0,0,N,0,0,0,0,0,0,0,0
19,LNA_GSS_5150MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,14,18,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
20,LNA_GSS_5500MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,14,18,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
21,LNA_GSS_5850MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,14,18,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
22,LNA_GSS_5925MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,14,18,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
23,LNA_GFLAT,dB,3,Bin3,F,202,LNA_GFLAT_FAIL,F,0,5,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
24,LNA_GSS_2410MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,-50,0,-50,0,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
25,LNA_BYPASS_IDC,mA,3,Bin3,F,301,LNA_IDC_BYPASS_FAIL,F,0.5,2,0.5,2,0,0,0,0,N,0,0,0,0,0,0,0,0
26,LNA_BYPASS_GSS_5150MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-6,-2,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
27,LNA_BYPASS_GSS_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-6,-2,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
28,LNA_BYPASS_GSS_5850MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-6,-2,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
29,LNA_BYPASS_GSS_5925MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-6,-2,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
30,LNA_IP1dB_5500MHz,dBm,3,Bin3,F,205,RX_P1dB,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
31,LNA_CP1dB_5500MHz,dB,3,Bin3,F,208,LNA_P1dB_COMP,F,0.9,1.1,0.9,1.1,0,0,0,0,N,0,0,0,0,0,0,0,0
32,LNA_NF_5500MHz,dB,3,Bin3,F,206,RX_NF,F,1,3,1,3,0,0,0,0,N,0,0,0,0,0,0,0,0
33,DEVM_5500MHz_MCS9_HT80_300us_50%,dB,3,Bin3,F,207,LNA_DEVM_FAIL,F,-50,-41,-50,-41,0,0,0,0,N,0,0,0,0,0,0,0,0
34,ISO_RX2ANT_5500MHz,dB,5,Bin5,F,401,ISO_RX2ANT_FAIL,F,30,50,30,50,0,0,0,0,N,0,0,0,0,0,0,0,0
35,ISO_TX2RX_5500MHZ,dB,5,Bin5,F,477,ISO_TX2RX_FAIL,F,5,20,5,20,0,0,0,0,N,0,0,0,0,0,0,0,0
36,TX_GSS_5150MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,27,33,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
37,TX_GSS_5500MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,27,33,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
38,TX_GSS_5850MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,27,33,0.3,1,-3,3,N,-2,0,0,0,0,0,0,0
39,TX_GSS_5925MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,27,33,0.3,1,-3,3,N,-4,0,0,0,0,0,0,0
40,TX_GSS_3800MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,0,35,0,35,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
41,TX_GSS_2600MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,-50,0,-50,0,0.3,1,-3,3,N,0,0,0,0,0,0,0,0
42,TX_GFLAT,dB,5,Bin5,F,403,TX_GFLAT_FAIL,F,0,5,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
43,TX_OP1dB_5500MHz,dBm,5,Bin5,F,407,TX_P1dB_FAIL,F,28,35,28,35,0,0,0,0,N,0,0,0,0,0,0,0,0
44,TX_CP1dB_5500MHz,dB,5,Bin5,F,407,TX_P1dB_FAIL,F,0.9,1.1,0.9,1.1,0,0,0,0,N,0,0,0,0,0,0,0,0
45,TX_OP3dB_5500MHz,dBm,5,Bin5,F,407,TX_P1dB_FAIL,F,28,35,28,35,0,0,0,0,N,0,0,0,0,0,0,0,0
46,TX_CP3dB_5500MHz,dB,5,Bin5,F,407,TX_P1dB_FAIL,F,2.9,3.1,2.9,3.1,0,0,0,0,N,0,0,0,0,0,0,0,0
47,POUT_10dBm_5500MHz_CW,dBm,5,Bin5,F,408,POUT_10dBm_FAIL,F,9.9,10.1,9.9,10.1,0,0,0,0,N,0,0,0,0,0,0,0,0
48,ICC_10dBm_5500MHz_CW,mA,5,Bin5,F,409,ICC_10dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
49,VDET_10dBm_5500MHz_CW,mV,5,Bin5,F,410,VDET_10dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
50,POUT_18dBm_5500MHz_CW,dBm,5,Bin5,F,411,POUT_18dBm_FAIL,F,17.9,18.1,17.9,18.1,0,0,0,0,N,0,0,0,0,0,0,0,0
51,ICC_18dBm_5500MHz_CW,mA,5,Bin5,F,412,ICC_18dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
52,VDET_18dBm_5500MHz_CW,mV,5,Bin5,F,413,VDET_18dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
53,POUT_22dBm_5500MHz_CW,dBm,5,Bin5,F,414,POUT_22dBm_FAIL,F,21.9,22.1,21.9,22.1,0,0,0,0,N,0,0,0,0,0,0,0,0
54,ICC_22dBm_5500MHz_CW,mA,5,Bin5,F,415,ICC_22dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
55,VDET_22dBm_5500MHz_CW,mV,5,Bin5,F,416,VDET_22dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
56,POUT_25dBm_5500MHz_CW,dBm,5,Bin5,F,417,POUT_25dBm_FAIL,F,24.9,25.1,24.9,25.1,0,0,0,0,N,0,0,0,0,0,0,0,0
57,ICC_25dBm_5500MHz_CW,mA,5,Bin5,F,418,ICC_25dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
58,VDET_25dBm_5500MHz_CW,mV,5,Bin5,F,419,VDET_25dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
59,VDET_SLOPE_10dBm_26dBm_2442MHz,mV,5,Bin5,F,420,VDET_SLOPE_FAIL,F,25,40,25,40,0,0,0,0,N,0,0,0,0,0,0,0,0
60,POUT_DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,dBm,5,Bin5,F,430,POUT_DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,F,20.9,21.1,20.9,21.1,0,0,0,0,N,0,0,0,0,0,0,0,0
61,DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,dB,5,Bin5,F,431,DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,F,-50,-30,-50,-30,0,0,0,0,N,0,0,0,0,0,0,0,0
62,EVM_FLOOR_5510MHz_MCS7_HT40,dB,5,Bin5,F,434,EVM_FLOOR_5510MHz_MCS7_HT40,F,-50,-43,-50,-43,0,0,0,0,N,0,0,0,0,0,0,0,0
63,POUT_DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,dBm,5,Bin5,F,435,POUT_DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,F,20.9,21.1,20.9,21.1,0,0,0,0,N,0,0,0,0,0,0,0,0
64,DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,dB,5,Bin5,F,436,DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,F,-50,-30,-50,-30,0,0,0,0,N,0,0,0,0,0,0,0,0
65,POUT_DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,dBm,5,Bin5,F,437,POUT_DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,F,19.9,20.1,19.9,20.1,0,0,0,0,N,0,0,0,0,0,0,0,0
66,DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,dB,5,Bin5,F,438,DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,F,-50,-35,-50,-35,0,0,0,0,N,0,0,0,0,0,0,0,0
67,EVM_FLOOR_5530MHz_MCS9_HT80,dB,5,Bin5,F,441,EVM_FLOOR_5530MHz_MCS9_HT80,F,-50,-43,-50,-43,0,0,0,0,N,0,0,0,0,0,0,0,0
68,POUT_DEVM_20dBm_5775MHz_MCS9_HT80_300us_50%,dBm,5,Bin5,F,442,POUT_DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,F,19.9,20.1,19.9,20.1,0,0,0,0,N,0,0,0,0,0,0,0,0
69,DEVM_20dBm_5775MHz_MCS9_HT80_300us_50%,dB,5,Bin5,F,443,DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,F,-50,-35,-50,-35,0,0,0,0,N,0,0,0,0,0,0,0,0
70,TX_IDC_VCC1,mA,5,Bin5,F,528,ICQ_RETEST_FAIL,F,20,60,20,60,0,0,0,0,N,0,0,0,0,0,0,0,0
71,TX_IDC_VCC2,mA,5,Bin5,F,529,ICQ_RETEST_FAIL,F,60,120,60,120,0,0,0,0,N,0,0,0,0,0,0,0,0
72,TX_IDC_VDD,mA,5,Bin5,F,530,ICQ_RETEST_FAIL,F,20,60,20,60,0,0,0,0,N,0,0,0,0,0,0,0,0
73,TX_ICQ,mA,5,Bin5,F,531,ICQ_RETEST_FAIL,F,155,185,155,185,0,0,0,0,N,0,0,0,0,0,0,0,0
74,LNA_IDD_END,mA,3,Bin3,F,532,LNA_IDC_RETEST_FAIL,F,25,38,25,38,0,0,0,0,N,0,0,0,0,0,0,0,0
75,IOFF_VCC1_END,uA,4,Bin4,F,533,IOFF_END_FAIL,F,-10,10,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
76,IOFF_VCC2_END,uA,4,Bin4,F,534,IOFF_END_FAIL,F,-10,10,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
77,IOFF_VDD,mA,4,Bin4,F,535,IOFF_END_FAIL,F,0.5,2,0.5,2,0,0,0,0,N,0,0,0,0,0,0,0,0
78,IOFF_GROSS_END,mA,4,Bin4,F,536,IOFF_END_FAIL,F,0.5,2,0.5,2,0,0,0,0,N,0,0,0,0,0,0,0,0
79,DC_IIH_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
80,DC_IIH_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,600,700,600,700,0,0,0,0,N,0,0,0,0,0,0,0,0
81,DC_IIH_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,250,350,250,350,0,0,0,0,N,0,0,0,0,0,0,0,0
82,DC_IIL_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
83,DC_IIL_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
84,DC_IIL_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
85,CONT_C0_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,0.1,0.6,0.1,0.6,0,0,0,0,N,0,0,0,0,0,0,0,0
86,CONT_C1_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,1,3,1,3,0,0,0,0,N,0,0,0,0,0,0,0,0
87,TestTime,ms,5,Bin5,F,6,TestTime_FAIL,F,0,6000,0,6000,0,0,0,0,N,0,0,0,0,0,0,0,0
